USUARIO;Conexión;Desconexión;Horas conexión;Servicio
u935107;2/9/2025 07:59;2/9/2025 14:00;06:00:22;RETENCION CABLE
u403012;2/9/2025 07:59;2/9/2025 14:00;06:00:51;RETENCION CABLE
u405132;2/9/2025 16:00;2/9/2025 16:59;00:58:44;RETENCION CABLE
u405132;2/9/2025 17:05;2/9/2025 17:06;00:01:39;RETENCION CABLE
u405132;2/9/2025 17:07;2/9/2025 17:08;00:00:48;RETENCION CABLE
u405132;2/9/2025 17:10;2/9/2025 22:00;04:50:04;RETENCION CABLE
u921825;2/9/2025 09:00;2/9/2025 15:00;06:00:03;RETENCION CABLE
u403570;2/9/2025 08:04;2/9/2025 14:03;05:59:02;RETENCION CABLE
u405126;2/9/2025 08:54;2/9/2025 15:00;06:05:47;RETENCION CABLE
u625958;2/9/2025 08:00;2/9/2025 08:20;00:20:49;RETENCION CABLE
u625958;2/9/2025 08:21;2/9/2025 14:00;05:39:27;RETENCION CABLE
u927123;2/9/2025 08:56;2/9/2025 15:01;06:04:40;RETENCION CABLE
u405404;2/9/2025 16:00;2/9/2025 16:32;00:32:30;RETENCION CABLE
u405404;2/9/2025 16:35;2/9/2025 22:01;05:25:39;RETENCION CABLE
u939751;2/9/2025 07:58;2/9/2025 08:45;00:47:28;RETENCION CABLE
u939751;2/9/2025 08:47;2/9/2025 13:59;05:12:08;RETENCION CABLE
u938619;2/9/2025 15:00;2/9/2025 16:47;01:47:12;RETENCION CABLE
u938619;2/9/2025 16:50;2/9/2025 21:02;04:12:33;RETENCION CABLE
u934788;2/9/2025 15:00;2/9/2025 21:01;06:00:19;RETENCION CABLE
u928572;2/9/2025 08:53;2/9/2025 08:53;00:00:05;RETENCION CABLE
u928572;2/9/2025 09:00;2/9/2025 09:22;00:22:07;RETENCION CABLE
u928572;2/9/2025 09:22;2/9/2025 11:43;02:21:28;RETENCION CABLE
u928572;2/9/2025 11:44;2/9/2025 15:01;03:16:39;RETENCION CABLE
u405130;2/9/2025 16:00;2/9/2025 16:17;00:16:26;RETENCION CABLE
u405130;2/9/2025 16:21;2/9/2025 22:00;05:39:18;RETENCION CABLE
u405398;2/9/2025 15:02;2/9/2025 21:00;05:58:24;RETENCION CABLE
u578398;2/9/2025 08:00;2/9/2025 09:41;01:40:55;RETENCION CABLE
u578398;2/9/2025 09:42;2/9/2025 14:01;04:19:38;RETENCION CABLE
u936818;2/9/2025 09:01;2/9/2025 13:45;04:44:19;RETENCION CABLE
u936818;2/9/2025 13:46;2/9/2025 15:00;01:14:08;RETENCION CABLE
u403586;2/9/2025 15:01;2/9/2025 21:00;05:59:49;RETENCION CABLE
u932906;2/9/2025 08:59;2/9/2025 15:00;06:00:54;RETENCION CABLE
u401334;2/9/2025 16:01;2/9/2025 17:12;01:10:33;RETENCION CABLE
u401334;2/9/2025 17:13;2/9/2025 22:00;04:46:51;RETENCION CABLE
u561875;2/9/2025 08:29;2/9/2025 14:30;06:01:41;RETENCION CABLE
u925305;2/9/2025 08:01;2/9/2025 14:10;06:08:51;RETENCION CABLE
u925305;2/9/2025 20:30;2/9/2025 21:38;01:07:08;RETENCION CABLE
u401134;2/9/2025 15:04;2/9/2025 16:32;01:28:16;RETENCION CABLE
u401134;2/9/2025 16:34;2/9/2025 21:03;04:29:04;RETENCION CABLE
u939746;2/9/2025 08:00;2/9/2025 14:04;06:04:34;RETENCION CABLE
u932961;2/9/2025 08:35;2/9/2025 14:31;05:56:10;RETENCION CABLE
u401139;2/9/2025 15:01;2/9/2025 21:03;06:02:04;RETENCION CABLE
u401143;2/9/2025 15:33;2/9/2025 15:33;00:00:03;RETENCION CABLE
u401143;2/9/2025 16:00;2/9/2025 22:00;06:00:27;RETENCION CABLE
u939690;2/9/2025 16:00;2/9/2025 22:00;06:00:15;RETENCION CABLE
u929678;2/9/2025 08:30;2/9/2025 14:30;05:59:25;RETENCION CABLE
u929678;2/9/2025 20:31;2/9/2025 22:02;01:31:12;RETENCION CABLE
u614946;2/9/2025 08:04;2/9/2025 09:36;01:32:10;RETENCION CABLE
u614946;2/9/2025 09:37;2/9/2025 13:50;04:12:42;RETENCION CABLE
u614946;2/9/2025 13:50;2/9/2025 14:05;00:15:47;RETENCION CABLE
u626769;2/9/2025 09:13;2/9/2025 15:13;05:59:45;RETENCION CABLE
u403566;1/9/2025 09:00;1/9/2025 15:00;05:59:52;RETENCION CABLE
u405402;1/9/2025 16:00;1/9/2025 22:00;05:59:50;RETENCION CABLE
u925873;1/9/2025 08:57;1/9/2025 15:00;06:02:29;RETENCION CABLE
